TEAM,SEED,Region
Duke,1,East
Auburn,1,South
Florida,1,West
Houston,1,Midwest
Alabama,2,East
Michigan St.,2,South
Tennesse,2,West
St. Johns,2,Midwest
Wisconsin,3,East
Iowa St.,3,South
Texas Tech.,3,West
Kentucky,3,Midwest
Arizona,4,East
Texas A&M,4,South
Purdue,4,West
Maryland,4,Midwest
Oregon,5,East
Michigan,5,South
Clemson,5,West
Memphis,5,Midwest
BYU,6,East
Ole Miss,6,South
Illinois,6,West
Missouri,6,Midwest
Saint Mary's,7,East
Marquette,7,South
UCLA,7,West
Kansas,7,Midwest
MIssissippi St.,8,East
Louisville,8,South
Gonzaga,8,West
UConn,8,Midwest
Baylor,9,East
Creighton,9,South
Oklahoma,9,West
Georgia,9,Midwest
Vanderbilt,10,East
New Mexico,10,South
Utah St.,10,West
Arkansas,10,Midwest
VCU,11,East
SD St./UNC,11,South
Texas/Xavier,11,West
Drake,11,Midwest
Liberty,12,East
UC San Diego,12,South
McNeese,12,West
Colorado St.,12,Midwest
Akron,13,East
Yale,13,South
High Point,13,West
Grand Canyon,13,Midwest
Montana,14,East
Lipscomb,14,South
Troy,14,West
UNC Wilmington,14,Midwest
Robert Morris,15,East
Bryant,15,South
Wofford,15,West
Omaha,15,Midwest
American/Mt. St. Mary,16,East
Bama St./St. Fransis U,16,South
Northfolk st.,16,West
SIU Edwardsville,16,Midwest
