seed,prob_r32,prob_r16,prob_r8,prob_r4,prob_r2,prob_win
1,0.9870129870129871,0.845771144278607,0.6655060930116887,0.40789619881236033,0.24829358659601836,0.15883020818608448
2,0.931,0.644,0.4477611940298507,0.19752842557499292,0.07889250412310135,0.030544270805016246
3,0.856,0.5244755244755245,0.25472636815920396,0.10469006555474625,0.06679242680360728,0.024435416644013
4,0.794,0.48051948051948057,0.15518527729420542,0.09283836002024667,0.024200154638988145,0.0122177083220065
5,0.644,0.3436563436563437,0.07460830639144492,0.05530795916099802,0.024200154638988145,0.004887083328802599
6,0.6123876123876124,0.29370629370629364,0.10547263681592038,0.018765200429624325,0.012100077319494073,0.00610885416100325
7,0.6123876123876124,0.181,0.0626865671641791,0.018765200429624325,0.006292040206136917,0.00610885416100325
8,0.481,0.09950248756218907,0.055707535438945535,0.03753040085924865,0.024200154638988145,0.00610885416100325
9,0.519,0.04975124378109454,0.030838099975130564,0.012839347662374538,0.004840030927797629,0.00024435416644013
10,0.38761238761238764,0.15,0.055721393034825865,0.005925852767249788,0.004840030927797629,0.00024435416644013
11,0.38761238761238764,0.16883116883116883,0.0626865671641791,0.03753040085924865,0.004840030927797629,0.00024435416644013
12,0.356,0.13786213786213788,0.012932106441183784,0.004938210639374823,0.00024200154638988144,1.22177083220065e-05
13,0.206,0.03796203796203797,0.004973887092762994,0.00024691053196874117,1.2100077319494073e-05,6.108854161003251e-07
14,0.144,0.012987012987012984,0.004975124378109453,0.00024691053196874117,1.2100077319494073e-05,6.108854161003251e-07
15,0.069,0.025,0.0059701492537313425,0.004938210639374823,0.00024200154638988144,1.22177083220065e-05
16,0.012987012987012988,0.0049751243781094535,0.0002486943546381497,1.234552659843706e-05,6.050038659747038e-07,3.0544270805016254e-08
